"NEW BLOCK Ground Floor","NEW BLOCK Ground Floor","NEW BLOCK Ground Floor","NEW BLOCK Ground Floor","NEW BLOCK Ground Floor","NEW BLOCK Ground Floor","NEW BLOCK 5th Floor","NEW BLOCK 5th Floor"
"G1","G1","G2","G2 CENTER","G3","G3 CENTER","501","501"
"2005698820","2551776764","2400845177","2251892995","2454509520","2007024780","2551491490","2551763561"
"2100709055","2551770907","2400849130","2350975888","2454510049","2106201064","2551774777","2551774777"
"2108115699","2551777185","2400852772","2550049879","2454790016","2107362930","2551492644","2551774782"
"2108117686","2552279422","2400853948","2550475468","2500017411","2107384332","2551492886","2551774822"
"2108178402","2552312285","2401346830","2550475494","2501455979","2251218057","2551492752","2551774904"
"2108178444","2552919258","2401352771","2550698230","2550139170","2300446044","2551495181","2551774988"
"2108728983","2552919659","2401363415","2601660067","2550389400","2300526242","2551495242","2551775158"
"2108795750","2552919710","2402046760","2602015216","2551470305","2351453189","2551496423","2551775161"
"2200142095","2552919751","2402089576","2451438383","2551471180","2353883996","2551496450","2551775177"
"2252683135","2552919812","2402073302","2300611792","2551471826","2353918069","2551513330","2551775217"
"2252683217","2552919998","2402376309","","2551472680","2400316213","2551518498",""
"2253818153","","2450057772","","2551475246","2452269930","",""
"2253819062","","2450153840","","2551475267","","",""
"2253909973","","2450415871","","2551475415","","",""
"2300651840","","2450800923","","2551475457","","",""
"2300703266","","2450810710","","2551475478","","",""
"2350734896","","2450957907","","2551475523","","",""
"2350734962","","2451145554","","2551483961","","",""
"2351009636","","2451738858","","2551484280","","",""
"2351415527","","2451954986","","2551484422","","",""
"2352319209","","2451955581","","2551486528","","",""
"2354303881","","2453111430","","2551486600","","",""
"2354341670","","2453532280","","2551488958","","",""
"2354341829","","2453756655","","2551490240","","",""
"2354352253","","2453770925","","2551490338","","",""
"2354361661","","2453790602","","2551490723","","",""
"2354362668","","2453824385","","2551490770","","",""
"2354416023","","2453886556","","2551491247","","",""
"2354418356","","2454292862","","2551491340","","",""
"2354743601","","2454339893","","2551491376","","",""
"2400366868","","2454475861","","2551491400","","",""
"2400367571","","2454483879","","2551491458","","",""
